symbol,date,entry_price,exit_date,exit_price,return,is_complete,in_optimal_zone,prev_weekly_red,prev_weekly_large_bottom_wick,prev_atr_declining,vol_spike,sector
AMD,2025-04-04 04:00:00,85.76,2026-01-09 05:00:00,204.85,1.3886427238805967,False,True,False,False,True,False,Tech
AMD,2025-04-07 04:00:00,83.64,2026-01-09 05:00:00,204.85,1.4491869918699187,False,True,True,False,False,False,Tech
AMD,2025-04-08 04:00:00,78.21,2026-01-09 05:00:00,204.85,1.6192302774581258,False,True,True,False,False,False,Tech
ORCL,2025-01-10 05:00:00,154.5,2026-01-09 05:00:00,199.445,0.2909061488673139,False,False,True,True,True,False,Tech
ORCL,2025-01-13 05:00:00,153.92,2026-01-09 05:00:00,199.445,0.29577053014553023,False,False,True,True,True,False,Tech
ORCL,2025-04-04 04:00:00,128.27,2026-01-09 05:00:00,199.445,0.5548842285803381,False,False,False,False,True,False,Tech
ORCL,2025-04-07 04:00:00,127.16,2026-01-09 05:00:00,199.445,0.5684570619691727,False,False,True,False,False,False,Tech
ORCL,2025-04-08 04:00:00,124.5,2026-01-09 05:00:00,199.445,0.6019678714859438,False,True,True,False,False,False,Tech
ORCL,2025-11-12 05:00:00,226.99,2026-01-09 05:00:00,199.445,-0.12134895810388124,False,False,True,False,False,False,Tech
ORCL,2025-11-13 05:00:00,217.57,2026-01-09 05:00:00,199.445,-0.083306522038884,False,False,True,False,False,False,Tech
ORCL,2025-11-17 05:00:00,219.86,2026-01-09 05:00:00,199.445,-0.09285454380060043,False,False,True,False,False,False,Tech
ORCL,2025-11-18 05:00:00,220.49,2026-01-09 05:00:00,199.445,-0.09544650551045408,False,False,True,False,False,False,Tech
ORCL,2025-11-20 05:00:00,210.69,2026-01-09 05:00:00,199.445,-0.053372253073235565,False,False,True,False,False,False,Tech
ORCL,2025-11-21 05:00:00,198.76,2026-01-09 05:00:00,199.445,0.003446367478365797,False,False,True,False,False,True,Tech
ORCL,2025-11-24 05:00:00,200.28,2026-01-09 05:00:00,199.445,-0.004169163171559909,False,False,True,True,False,False,Tech
